[2022-05-05 04:04:57,817][train.py][line:137][INFO] Pretrain D| [ 8800/10000] | clf_loss = 0.4951,                     acc = 0.8315
[2022-05-05 04:05:32,630][train.py][line:137][INFO] Pretrain D| [ 8900/10000] | clf_loss = 0.5036,                     acc = 0.8264
[2022-05-05 04:06:07,412][train.py][line:137][INFO] Pretrain D| [ 9000/10000] | clf_loss = 0.4902,                     acc = 0.8281
[2022-05-05 04:06:42,257][train.py][line:137][INFO] Pretrain D| [ 9100/10000] | clf_loss = 0.4967,                     acc = 0.8298
[2022-05-05 04:07:17,032][train.py][line:137][INFO] Pretrain D| [ 9200/10000] | clf_loss = 0.4825,                     acc = 0.8372
[2022-05-05 04:07:51,883][train.py][line:137][INFO] Pretrain D| [ 9300/10000] | clf_loss = 0.4984,                     acc = 0.8275
[2022-05-05 04:08:26,718][train.py][line:137][INFO] Pretrain D| [ 9400/10000] | clf_loss = 0.4810,                     acc = 0.8359
[2022-05-05 04:09:01,585][train.py][line:137][INFO] Pretrain D| [ 9500/10000] | clf_loss = 0.4855,                     acc = 0.8340
[2022-05-05 04:09:36,395][train.py][line:137][INFO] Pretrain D| [ 9600/10000] | clf_loss = 0.4898,                     acc = 0.8365
[2022-05-05 04:10:11,119][train.py][line:137][INFO] Pretrain D| [ 9700/10000] | clf_loss = 0.4888,                     acc = 0.8321
[2022-05-05 04:10:45,906][train.py][line:137][INFO] Pretrain D| [ 9800/10000] | clf_loss = 0.5016,                     acc = 0.8322
[2022-05-05 04:11:20,742][train.py][line:137][INFO] Pretrain D| [ 9900/10000] | clf_loss = 0.4953,                     acc = 0.8319
[2022-05-05 04:11:55,712][train.py][line:163][INFO] Train D | [    0/50000] | clf_loss = 0.4826                     acc = 0.8326
[2022-05-05 04:11:56,205][train.py][line:163][INFO] Train D | [    0/50000] | clf_loss = 0.4848                     acc = 0.8351
[2022-05-05 04:11:56,695][train.py][line:163][INFO] Train D | [    0/50000] | clf_loss = 0.4804                     acc = 0.8353
[2022-05-05 04:11:57,184][train.py][line:163][INFO] Train D | [    0/50000] | clf_loss = 0.4974                     acc = 0.8254
[2022-05-05 04:11:57,674][train.py][line:163][INFO] Train D | [    0/50000] | clf_loss = 0.4902                     acc = 0.8315
[2022-05-05 04:11:58,360][train.py][line:186][INFO] Train G | [    0/50000] | rec_loss = 0.1309 clf_loss = 0.5157 a = 0.00e+00                acc = 0.8271
[2022-05-05 04:11:59,217][train.py][line:163][INFO] Train D | [    1/50000] | clf_loss = 0.4900                     acc = 0.8314
[2022-05-05 04:11:59,707][train.py][line:163][INFO] Train D | [    1/50000] | clf_loss = 0.4854                     acc = 0.8342
[2022-05-05 04:12:00,200][train.py][line:163][INFO] Train D | [    1/50000] | clf_loss = 0.4950                     acc = 0.8275
[2022-05-05 04:12:00,690][train.py][line:163][INFO] Train D | [    1/50000] | clf_loss = 0.4797                     acc = 0.8376
[2022-05-05 04:12:01,180][train.py][line:163][INFO] Train D | [    1/50000] | clf_loss = 0.5029                     acc = 0.8324
[2022-05-05 04:12:01,858][train.py][line:186][INFO] Train G | [    1/50000] | rec_loss = 0.1411 clf_loss = 0.4952 a = 2.00e-07                acc = 0.8323
[2022-05-05 04:12:02,350][train.py][line:163][INFO] Train D | [    2/50000] | clf_loss = 0.5058                     acc = 0.8273
[2022-05-05 04:12:02,839][train.py][line:163][INFO] Train D | [    2/50000] | clf_loss = 0.4903                     acc = 0.8286
[2022-05-05 04:12:03,330][train.py][line:163][INFO] Train D | [    2/50000] | clf_loss = 0.4925                     acc = 0.8300
[2022-05-05 04:12:03,820][train.py][line:163][INFO] Train D | [    2/50000] | clf_loss = 0.5106                     acc = 0.8254
[2022-05-05 04:12:04,310][train.py][line:163][INFO] Train D | [    2/50000] | clf_loss = 0.4990                     acc = 0.8264
[2022-05-05 04:12:04,989][train.py][line:186][INFO] Train G | [    2/50000] | rec_loss = 0.1487 clf_loss = 0.4863 a = 4.00e-07                acc = 0.8337
[2022-05-05 04:12:05,479][train.py][line:163][INFO] Train D | [    3/50000] | clf_loss = 0.4833                     acc = 0.8320
[2022-05-05 04:12:05,968][train.py][line:163][INFO] Train D | [    3/50000] | clf_loss = 0.5104                     acc = 0.8228
[2022-05-05 04:12:06,458][train.py][line:163][INFO] Train D | [    3/50000] | clf_loss = 0.4842                     acc = 0.8334
[2022-05-05 04:12:06,948][train.py][line:163][INFO] Train D | [    3/50000] | clf_loss = 0.4865                     acc = 0.8339
[2022-05-05 04:12:07,437][train.py][line:163][INFO] Train D | [    3/50000] | clf_loss = 0.4980                     acc = 0.8273
[2022-05-05 04:12:08,116][train.py][line:186][INFO] Train G | [    3/50000] | rec_loss = 0.1380 clf_loss = 0.4957 a = 6.00e-07                acc = 0.8250
[2022-05-05 04:12:08,606][train.py][line:163][INFO] Train D | [    4/50000] | clf_loss = 0.4879                     acc = 0.8347
[2022-05-05 04:12:09,096][train.py][line:163][INFO] Train D | [    4/50000] | clf_loss = 0.4837                     acc = 0.8333
[2022-05-05 04:12:09,585][train.py][line:163][INFO] Train D | [    4/50000] | clf_loss = 0.4934                     acc = 0.8362
[2022-05-05 04:12:10,076][train.py][line:163][INFO] Train D | [    4/50000] | clf_loss = 0.5042                     acc = 0.8278
[2022-05-05 04:12:10,566][train.py][line:163][INFO] Train D | [    4/50000] | clf_loss = 0.4972                     acc = 0.8311
[2022-05-05 04:12:11,247][train.py][line:186][INFO] Train G | [    4/50000] | rec_loss = 0.1334 clf_loss = 0.5012 a = 8.00e-07                acc = 0.8330
[2022-05-05 04:12:11,781][train.py][line:163][INFO] Train D | [    5/50000] | clf_loss = 0.5142                     acc = 0.8270
[2022-05-05 04:12:12,272][train.py][line:163][INFO] Train D | [    5/50000] | clf_loss = 0.4919                     acc = 0.8387
[2022-05-05 04:12:12,762][train.py][line:163][INFO] Train D | [    5/50000] | clf_loss = 0.5149                     acc = 0.8256
[2022-05-05 04:12:13,252][train.py][line:163][INFO] Train D | [    5/50000] | clf_loss = 0.4978                     acc = 0.8283
[2022-05-05 04:12:13,742][train.py][line:163][INFO] Train D | [    5/50000] | clf_loss = 0.4945                     acc = 0.8314
[2022-05-05 04:12:14,423][train.py][line:186][INFO] Train G | [    5/50000] | rec_loss = 0.1350 clf_loss = 0.4879 a = 1.00e-06                acc = 0.8314
[2022-05-05 04:12:14,913][train.py][line:163][INFO] Train D | [    6/50000] | clf_loss = 0.4945                     acc = 0.8325
[2022-05-05 04:12:15,403][train.py][line:163][INFO] Train D | [    6/50000] | clf_loss = 0.4829                     acc = 0.8345
[2022-05-05 04:12:15,893][train.py][line:163][INFO] Train D | [    6/50000] | clf_loss = 0.4852                     acc = 0.8343
[2022-05-05 04:12:16,384][train.py][line:163][INFO] Train D | [    6/50000] | clf_loss = 0.4949                     acc = 0.8319
[2022-05-05 04:12:16,874][train.py][line:163][INFO] Train D | [    6/50000] | clf_loss = 0.4974                     acc = 0.8279
[2022-05-05 04:12:17,551][train.py][line:186][INFO] Train G | [    6/50000] | rec_loss = 0.1355 clf_loss = 0.4980 a = 1.20e-06                acc = 0.8265
[2022-05-05 04:12:18,042][train.py][line:163][INFO] Train D | [    7/50000] | clf_loss = 0.4882                     acc = 0.8333
[2022-05-05 04:12:18,533][train.py][line:163][INFO] Train D | [    7/50000] | clf_loss = 0.4706                     acc = 0.8393
[2022-05-05 04:12:19,023][train.py][line:163][INFO] Train D | [    7/50000] | clf_loss = 0.5041                     acc = 0.8267
[2022-05-05 04:12:19,513][train.py][line:163][INFO] Train D | [    7/50000] | clf_loss = 0.4920                     acc = 0.8333
[2022-05-05 04:12:20,002][train.py][line:163][INFO] Train D | [    7/50000] | clf_loss = 0.4967                     acc = 0.8295
[2022-05-05 04:12:20,682][train.py][line:186][INFO] Train G | [    7/50000] | rec_loss = 0.1387 clf_loss = 0.4821 a = 1.40e-06                acc = 0.8350
[2022-05-05 04:12:21,172][train.py][line:163][INFO] Train D | [    8/50000] | clf_loss = 0.4926                     acc = 0.8378
[2022-05-05 04:12:21,662][train.py][line:163][INFO] Train D | [    8/50000] | clf_loss = 0.5066                     acc = 0.8320
[2022-05-05 04:12:22,154][train.py][line:163][INFO] Train D | [    8/50000] | clf_loss = 0.4874                     acc = 0.8303
[2022-05-05 04:12:22,644][train.py][line:163][INFO] Train D | [    8/50000] | clf_loss = 0.4822                     acc = 0.8309
[2022-05-05 04:12:23,133][train.py][line:163][INFO] Train D | [    8/50000] | clf_loss = 0.4894                     acc = 0.8318
[2022-05-05 04:12:23,812][train.py][line:186][INFO] Train G | [    8/50000] | rec_loss = 0.1397 clf_loss = 0.4826 a = 1.60e-06                acc = 0.8347
[2022-05-05 04:12:24,303][train.py][line:163][INFO] Train D | [    9/50000] | clf_loss = 0.4848                     acc = 0.8339
[2022-05-05 04:12:24,793][train.py][line:163][INFO] Train D | [    9/50000] | clf_loss = 0.4804                     acc = 0.8358
[2022-05-05 04:12:25,283][train.py][line:163][INFO] Train D | [    9/50000] | clf_loss = 0.4961                     acc = 0.8316
[2022-05-05 04:12:25,773][train.py][line:163][INFO] Train D | [    9/50000] | clf_loss = 0.5097                     acc = 0.8279
[2022-05-05 04:12:26,264][train.py][line:163][INFO] Train D | [    9/50000] | clf_loss = 0.4792                     acc = 0.8375
[2022-05-05 04:12:26,942][train.py][line:186][INFO] Train G | [    9/50000] | rec_loss = 0.1364 clf_loss = 0.4925 a = 1.80e-06                acc = 0.8340
[2022-05-05 04:12:27,432][train.py][line:163][INFO] Train D | [   10/50000] | clf_loss = 0.4942                     acc = 0.8293
[2022-05-05 04:12:27,921][train.py][line:163][INFO] Train D | [   10/50000] | clf_loss = 0.4820                     acc = 0.8378
[2022-05-05 04:12:28,412][train.py][line:163][INFO] Train D | [   10/50000] | clf_loss = 0.4819                     acc = 0.8351
[2022-05-05 04:12:28,901][train.py][line:163][INFO] Train D | [   10/50000] | clf_loss = 0.5152                     acc = 0.8253
[2022-05-05 04:12:29,391][train.py][line:163][INFO] Train D | [   10/50000] | clf_loss = 0.4954                     acc = 0.8312
[2022-05-05 04:12:30,069][train.py][line:186][INFO] Train G | [   10/50000] | rec_loss = 0.1373 clf_loss = 0.5043 a = 2.00e-06                acc = 0.8253
[2022-05-05 04:12:30,560][train.py][line:163][INFO] Train D | [   11/50000] | clf_loss = 0.4998                     acc = 0.8278
[2022-05-05 04:12:31,050][train.py][line:163][INFO] Train D | [   11/50000] | clf_loss = 0.4821                     acc = 0.8340
[2022-05-05 04:12:31,539][train.py][line:163][INFO] Train D | [   11/50000] | clf_loss = 0.4802                     acc = 0.8320
[2022-05-05 04:12:32,030][train.py][line:163][INFO] Train D | [   11/50000] | clf_loss = 0.4918                     acc = 0.8307
[2022-05-05 04:12:32,520][train.py][line:163][INFO] Train D | [   11/50000] | clf_loss = 0.5119                     acc = 0.8250
[2022-05-05 04:12:33,199][train.py][line:186][INFO] Train G | [   11/50000] | rec_loss = 0.1365 clf_loss = 0.4965 a = 2.20e-06                acc = 0.8282
[2022-05-05 04:12:33,689][train.py][line:163][INFO] Train D | [   12/50000] | clf_loss = 0.4897                     acc = 0.8295
[2022-05-05 04:12:34,183][train.py][line:163][INFO] Train D | [   12/50000] | clf_loss = 0.4888                     acc = 0.8309
